
2019/1/4
----------------------------------Paramater Setting----------------------------------
Using lambdaA 0.0001 using lambdaR 0.0001 using lambdaV 0.0001 using lambdaS 0.001
using Maxiter 300 init_method random fit_method False checkpoint 1000,1100
Chemical:15076	Mutation:108023	Pathway:2363	Phenotype:7732	Genes:27165	Diseases:2665
Disease-Chemical:1310249
Disease-Mutation:54032
Disease-Pathway:150855
Disease-Phenotype:1033
Disease-Disease:1826
Gene-Chemical:507004
Gene-Mutation:116033
Gene-Pathway:135345
Gene-Phenotype:160931
Gene-Gene:379235
Gene-Disease:11224532
Disease-Gene:11224532
The shape of W: 29830*163024
The shape of X: 29830*29830*2
Initialized R
step:   0 | fit: 0.00000 | delta: 0.0e+00 | secs: 5.78906
step:   1 | fit: 1.00000 | delta: 1.0e+00 | secs: 5.76915
step:   2 | fit: 2.00000 | delta: 1.0e+00 | secs: 5.80692
step:   3 | fit: 3.00000 | delta: 1.0e+00 | secs: 5.81660
step:   4 | fit: 4.00000 | delta: 1.0e+00 | secs: 5.80687
step:   5 | fit: 5.00000 | delta: 1.0e+00 | secs: 5.74239
step:   6 | fit: 6.00000 | delta: 1.0e+00 | secs: 5.76229
step:   7 | fit: 7.00000 | delta: 1.0e+00 | secs: 5.72134
step:   8 | fit: 8.00000 | delta: 1.0e+00 | secs: 5.72218
step:   9 | fit: 9.00000 | delta: 1.0e+00 | secs: 5.71688
step:  10 | fit: 10.00000 | delta: 1.0e+00 | secs: 5.70734
step:  11 | fit: 11.00000 | delta: 1.0e+00 | secs: 5.70751
step:  12 | fit: 12.00000 | delta: 1.0e+00 | secs: 5.71921
step:  13 | fit: 13.00000 | delta: 1.0e+00 | secs: 5.73890
step:  14 | fit: 14.00000 | delta: 1.0e+00 | secs: 5.74296
step:  15 | fit: 15.00000 | delta: 1.0e+00 | secs: 5.92469
step:  16 | fit: 16.00000 | delta: 1.0e+00 | secs: 5.76888
step:  17 | fit: 17.00000 | delta: 1.0e+00 | secs: 5.79743
step:  18 | fit: 18.00000 | delta: 1.0e+00 | secs: 5.79274
step:  19 | fit: 19.00000 | delta: 1.0e+00 | secs: 5.93478
