label,name,c1,c2
1,374977,-9.95147,-10.547213
0,MESH:D009503,-0.29899165,-0.26869366
0,MESH:D051437,-0.087453105,-1.4429363
1,10570,10.1742935,8.187203
0,MESH:D017119,-0.7802163,0.8203561
1,9031,-12.79942,0.57121104
1,343,-16.322079,-11.2372875
0,MESH:D012608,5.061195,-11.288644
0,MESH:D006058,-0.38932693,-0.27230245
1,64760,0.22124141,5.615039
0,MESH:D005891,-1.1892278,-4.1499314
1,836,16.50067,-1.4821123
1,96626,-7.8920255,-6.7879415
0,MESH:D013964,-0.10039596,-0.4424669
0,MESH:D013064,-0.2311357,0.09401085
1,51194,-3.1038477,7.6006827
0,MESH:D005706,3.1391015,1.0466735
1,2194,6.23845,-5.959577
1,406918,1.7215785,12.662302
0,MESH:D008113,-1.1225806,-1.2394134
0,MESH:D008545,0.21558578,0.4596258
1,55901,1.0320537,4.785026
0,MESH:D003117,-0.4965584,0.011487902
1,286151,-7.1395597,10.4318285
1,132014,-8.089394,-8.713298
0,MESH:D008480,5.595329,-3.160032
1,389,0.8659127,4.808562
0,MESH:D005756,-0.39599845,-0.25685188
0,MESH:D001651,5.8209267,-19.130384
1,406996,1.023253,4.7446127
1,1059,-11.288184,1.9448998
0,MESH:D006391,0.71068794,-0.8667956
0,MESH:D019305,0.19392374,-0.17262793
1,158297,-7.3146744,-1.0400867
1,10928,0.26037702,-3.6468513
1,643136,3.257129,-22.152977
0,MESH:D015433,1.2138736,0.5368417
0,MESH:D004694,-0.16598833,0.34528854
1,84529,-17.458878,8.385155
0,MESH:D003711,-0.2618064,-1.3688629
1,56996,7.0591955,-2.253899
1,5713,11.791646,6.052388
0,MESH:D005831,0.06335457,-0.3625307
0,MESH:D005128,-2.129481,-1.2770714
1,389677,12.414258,-5.8735547
0,MESH:D020258,0.049330276,-0.109191835
1,158131,-3.166267,4.7516327
1,257397,-11.056785,1.6471537
0,MESH:D013398,0.97063243,-1.3601593
1,5226,16.828,-7.6476655
0,MESH:D020345,3.226801,-0.31553265
1,80173,10.90437,-8.445482
0,MESH:D018270,-0.8753701,-1.3617076
1,124045,3.7471635,10.324912
1,10924,2.0962415,-7.126284
0,MESH:D015458,1.9893522,12.69036
0,MESH:D016135,-0.6648467,-0.60326684
1,26575,-2.2799492,-10.387536
1,58473,8.229306,-15.484443
0,MESH:D020190,0.0025015064,1.466815
