label,name,c1,c2
1,22699,-5.563841e-07,-1.5931083e-07
1,24073,-6.395469e-07,-1.5927199e-07
1,24099,-5.954003e-07,-1.5936466e-07
1,23744,-5.296058e-07,-1.5763473e-07
1,23266,-5.910349e-07,-1.59679e-07
1,24206,-6.191126e-07,-1.5948314e-07
1,24051,-5.68276e-07,-1.592939e-07
1,24217,-5.549686e-07,-1.5921223e-07
1,24346,-6.352975e-07,-1.5935518e-07
1,24048,-5.577731e-07,-1.5930965e-07
1,23995,-5.7637845e-07,-1.5996893e-07
1,24054,-5.997036e-07,-1.5930075e-07
1,24173,-6.145951e-07,-1.5922494e-07
1,23620,-5.6661895e-07,-1.593472e-07
1,24387,-5.489689e-07,-1.5918226e-07
1,23692,-5.8783195e-07,-1.5936206e-07
1,22824,-5.9851175e-07,-1.5935716e-07
1,23971,-6.259736e-07,-1.5935544e-07
1,22833,-5.217373e-07,-1.5631136e-07
1,19733,-5.943227e-07,-1.5940455e-07
1,23934,-5.974141e-07,-1.5946188e-07
1,24350,-5.9432483e-07,-1.597443e-07
1,24406,-5.65105e-07,-1.5931396e-07
1,24257,-7.297561e-07,-1.5886124e-07
1,24321,-5.9538e-07,-1.5937277e-07
1,24074,-6.357063e-07,-1.5921559e-07
1,24309,-5.949781e-07,-1.5968482e-07
1,24296,-6.106561e-07,-1.5967441e-07
1,23189,-5.63202e-07,-1.5926014e-07
1,23079,-6.438021e-07,-1.5933884e-07
1,24182,-6.0540503e-07,-1.5932106e-07
1,24284,-6.026026e-07,-1.5941028e-07
1,24312,-5.872253e-07,-1.5938707e-07
1,24072,-6.1695494e-07,-1.5919028e-07
1,24161,-5.2127785e-07,-1.5849422e-07
1,24408,-5.9159544e-07,-1.594241e-07
1,22137,-5.5820385e-07,-1.5926884e-07
1,22998,-6.1560627e-07,-1.5928363e-07
1,23933,-5.9392323e-07,-1.5938966e-07
1,24409,-5.9270263e-07,-1.5935741e-07
1,23206,-5.9595146e-07,-1.5932838e-07
1,24264,-6.020163e-07,-1.5964935e-07
1,24271,-5.505545e-07,-1.575328e-07
1,23905,-5.5531495e-07,-1.5921968e-07
1,24184,-5.8957113e-07,-1.5941268e-07
1,24265,-6.00569e-07,-1.5933715e-07
1,23690,-5.8679274e-07,-1.594224e-07
1,0,-5.8071885e-07,-1.5951564e-07
1,23570,-5.9475303e-07,-1.5936793e-07
1,23960,-5.9348173e-07,-1.5950546e-07
1,22454,-5.5115055e-07,-1.5925399e-07
1,23615,-5.768209e-07,-1.5996292e-07
1,22757,-7.950306e-07,-1.5804156e-07
1,24269,-6.061089e-07,-1.5921233e-07
1,24066,-5.3571733e-07,-1.5885092e-07
1,24166,-5.907012e-07,-1.5936772e-07
1,23970,-5.612079e-07,-1.5925167e-07
1,22965,-5.700579e-07,-1.5934049e-07
1,24569,-5.8497665e-07,-1.5942055e-07
1,24272,-6.00857e-07,-1.5948955e-07
1,23527,-6.058424e-07,-1.593021e-07
1,24319,-5.948448e-07,-1.5858309e-07
